"","Metric","Value","Sex"
"1","College",1.08566111021201,"Male"
"2","Divorce",1.84918841175262,"Male"
"3","Multiple_Cancer",0.900104403948368,"Male"
"4","Limited_Activities",2.47818857589984,"Male"
"5","College",1.23584956730881,"Female"
"6","Divorce",1.83239544395688,"Female"
"7","Multiple_Cancer",1.30534371150772,"Female"
"8","Limited_Activities",2.08545385577081,"Female"
