"","Metric","Value","Sex"
"1","College",1.12831558328084,"Male"
"2","Divorce",1.70579833397612,"Male"
"3","No_Job",1.96127241798096,"Male"
"4","Limited_Activities",3.30429823902007,"Male"
"5","College",1.12134059898336,"Female"
"6","Divorce",1.61074798117553,"Female"
"7","No_Job",1.56540128227661,"Female"
"8","Limited_Activities",2.49042506739237,"Female"
