"","MENTHLTH","HLTHPLN1","MEDCOST","EXERANY2","EMTSUPRT","LSATISFY","EDUCA","Year"
"1",0,0.834521661021082,0.109255908598665,0.780070969115094,"NA","NA",0.864673166695064,"2012"
"2",1,0.84418547093101,0.160029273813789,0.854848714186101,"NA","NA",0.891444461533551,"2012"
"3",2,0.819375527072886,0.182121125821738,0.826566386797919,"NA","NA",0.888505624049671,"2012"
"4",3,0.796505273872002,0.199524716862675,0.804495907792453,"NA","NA",0.848139983474522,"2012"
"5",4,0.803796299819071,0.225914688712701,0.818477059144594,"NA","NA",0.859636763372392,"2012"
"6",5,0.81967634006482,0.212286170509577,0.790859434209494,"NA","NA",0.859377635920948,"2012"
"7",6,0.766081055089573,0.300353464304026,0.785410179887219,"NA","NA",0.833120345850352,"2012"
"8",7,0.777463871270166,0.252289944873204,0.76705013602253,"NA","NA",0.851212300656126,"2012"
"9",8,0.700194208873935,0.305506611353577,0.761712612847166,"NA","NA",0.753895008278622,"2012"
"10",9,0.712645151035605,0.370847008584035,0.714028257293953,"NA","NA",0.712139718820073,"2012"
"11",10,0.783886988358382,0.273594480418135,0.746162159011506,"NA","NA",0.83901625127611,"2012"
"12",11,0.728578468628512,0.295791410216414,0.69138272374425,"NA","NA",0.750066625993617,"2012"
"13",12,0.787008311120848,0.269003543089222,0.75448837243787,"NA","NA",0.83286333422705,"2012"
"14",13,0.738609112208457,0.365989374209149,0.827472694161761,"NA","NA",0.851975396414332,"2012"
"15",14,0.753405215360681,0.306700157285494,0.745809602221236,"NA","NA",0.753190793082279,"2012"
"16",15,0.746693356602736,0.336453486702868,0.686258848719253,"NA","NA",0.802576357923421,"2012"
"17",16,0.720972718776278,0.436161250675633,0.663657710398426,"NA","NA",0.750178814982157,"2012"
"18",17,0.80880416613765,0.390313455518623,0.767215655796575,"NA","NA",0.725063638547788,"2012"
"19",18,0.794141618872159,0.366698359599479,0.739219076189461,"NA","NA",0.850014886046957,"2012"
"20",19,0.642702489812432,0.583618209618348,0.531270593790529,"NA","NA",0.712468651419764,"2012"
"21",20,0.761934790276162,0.363899595898579,0.672503211761932,"NA","NA",0.774209274031869,"2012"
"22",21,0.741387369740891,0.330065842278058,0.578770436297183,"NA","NA",0.815640228219582,"2012"
