"","Metric","Value","Sex"
"1","College",1.19178888507382,"Male"
"2","Divorce",1.69381158234996,"Male"
"3","No_Job",2.54380341880342,"Male"
"4","Multiple_Cancer",1.23436528658461,"Male"
"5","Limited_Activities",3.23662911162911,"Male"
"6","College",1.11189801170639,"Female"
"7","Divorce",1.50272688530192,"Female"
"8","No_Job",1.62850027334022,"Female"
"9","Multiple_Cancer",1.27350756816488,"Female"
"10","Limited_Activities",2.43257978006246,"Female"
