"","Metric","Value","Sex"
"1","College",1.13514419675592,"Male"
"2","Divorce",1.65777619582526,"Male"
"3","Limited_Activities",3.41875324287625,"Male"
"4","College",1.12655837411122,"Female"
"5","Divorce",1.59269800443253,"Female"
"6","Limited_Activities",2.68270058400348,"Female"
